tempos
0.31
0.53
0.44
0.65
0.4
0.5
0.39
0.35
0.39
0.56
0.44
0.44
0.39
0.48
0.56
0.4
0.31
0.44
0.4
0.35
0.35
0.57
0.35
0.57
0.31
0.5
0.57
0.43
0.48
0.31
0.57
0.57
0.61
0.52
0.44
0.52
0.31
0.52
0.44
0.4
0.23
0.48
0.35
0.48
0.4
0.44
0.48
0.35
0.57
0.75
0.31
0.53
0.44
0.48
0.36
0.43
0.52
0.48
0.39
0.4
0.48
0.35
0.66
0.61
0.44
0.39
0.44
0.31
0.48
0.48
0.57
0.44
0.57
0.53
0.49
0.48
0.61
0.61
0.39
0.48
0.52
0.39
0.44
0.53
0.49
0.48
0.4
0.35
0.35
0.53
0.4
0.48
0.44
0.52
0.48
0.48
0.57
0.66
0.4
0.48
0.48
0.44
0.48
0.4
0.39
0.44
0.49
0.48
0.48
0.57
0.53
0.54
0.51
0.53
0.35
0.31
0.48
0.52
0.48
0.5
0.39
0.5
0.39
0.44
0.31
0.53
0.44
0.65
0.4
0.31
0.44
0.4
0.35
0.61
0.56
0.44
0.44
0.39
0.48
0.35
0.57
0.35
0.57
0.35
0.31
0.5
0.57
0.43
0.48
0.52
0.31
0.52
0.44
0.33
0.57
0.57
0.61
0.52
0.44
0.44
0.48
0.35
0.57
0.4
0.35
0.48
0.35
0.48
0.43
0.52
0.48
0.39
0.4
0.31
0.53
0.44
0.48
0.61
0.39
0.44
0.31
0.48
0.48
0.48
0.35
0.66
0.61
0.44
0.48
0.61
0.61
0.39
0.48
0.57
0.44
0.57
0.53
0.49
0.48
0.4
0.35
0.35
0.53
0.52
0.39
0.44
0.53
0.49
0.48
0.57
0.66
0.4
0.48
0.4
0.48
0.44
0.52
0.48
0.39
0.44
0.49
0.48
0.48
0.48
0.44
0.48
0.48
0.4
0.35
0.31
0.48
0.52
0.48
0.57
0.53
0.54
0.51
0.53
0.42
0.5
0.53
0.26
0.41
0.38
0.36
0.32
0.29
0.35
0.3
0.27
0.35
0.29
0.32
0.35
0.66
0.34
0.4
0.36
0.35
0.44
0.53
0.45
0.4
0.49
0.59
0.5
0.47
0.39
0.3
0.42
0.37
0.5
0.45
0.43
0.5
0.36
0.32
0.45
0.53
0.5
0.43
0.3
0.29
0.35
0.42
0.22
0.3
0.28
0.35
0.27
0.29
0.38
0.39
0.42
0.46
0.39
0.48
0.5
0.52
0.55
0.38
0.49
0.48
0.52
0.56
0.49
0.37
0.3
0.32
0.29
0.4
0.43
0.38
0.46
0.5
0.53
0.6
0.5
0.43
0.38
0.36
0.29
0.28
0.37
0.37
0.41
0.43
0.52
0.32
0.5
0.43
0.48
0.52
0.6
0.48
0.37
0.3
0.42
0.5
0.49
0.53
0.57
0.6
0.4
0.38
0.52
0.27
0.35
0.29
0.34
0.37
0.32
0.4
0.42
0.37
0.25
0.27
0.33
0.6
0.55
0.56
0.54
0.55
0.53
0.57
0.55
0.57
0.53
0.51
0.52
0.59
0.54
0.57
0.55
0.54
0.48
0.56
0.55
0.59
0.55
0.52
0.57
0.54
0.6
0.51
0.5
0.53
0.59
0.55
0.58
0.5
0.53
0.54
0.53
0.57
0.52
0.59
0.52
0.55
0.53
0.57
0.53
0.47
0.57
0.54
0.55
0.55
0.54
0.59
0.53
0.57
0.51
0.6
0.53
0.57
0.53
0.54
0.55
0.59
0.53
0.54
0.57
0.56
0.57
0.58
0.57
0.51
0.51
0.53
0.55
0.59
0.55
0.5
0.56
0.5
0.52
0.57
0.55
0.57
0.5
0.53
0.54
0.52
0.57
0.56
0.55
0.55
0.57
0.51
0.56
0.57
0.58
0.52
0.55
0.51
0.59
0.52
0.58
0.53
0.55
0.55
0.53
0.55
0.54
0.56
0.51
0.54
0.53
0.49
0.62
0.57
0.57
0.55
0.48
0.6
0.63
0.62
0.64
0.55
0.54
0.63
0.63
0.62
0.63
0.64
0.63
0.63
0.63
0.64
0.62
0.62
0.63
0.63
0.63
0.62
0.63
0.63
0.63
0.64
0.63
0.64
0.64
0.62
0.63
0.63
0.62
0.63
0.62
0.63
0.63
0.64
0.63
0.64
0.64
0.64
0.63
0.62
0.63
0.64
0.62
0.62
0.62
0.63
0.64
0.63
0.63
0.63
0.62
0.63
0.64
0.63
0.63
0.63
0.64
0.62
0.62
0.63
0.63
0.63
0.62
0.62
0.62
0.63
0.64
0.64
0.63
0.63
0.63
0.63
0.63
0.62
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.62
0.62
0.63
0.64
0.63
0.64
0.64
0.63
0.63
0.62
0.63
0.64
0.63
0.64
0.64
0.64
0.63
0.62
0.63
0.64
0.62
0.62
0.62
0.63
0.64
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.63
0.64
0.64
0.62
0.62
